Doctor_English,Patient_Yoruba,Clinical_Translation_English,Direct_Translation_English
Do you have chills or body aches?,"Bẹ́ẹ̀ni, mo ń gbóná, mo sì ń tutù, ara mi sì ń ro mí.","Yes, I feel hot and cold, and my body aches.","Yes, I am hot, I also am cold, body my also is paining me."
Do you have any concerns about your mental well-being?,"Bẹ́ẹ̀ni, ọkàn mi kì í balẹ̀, ìdààmú sì pọ̀ fún mi.","Yes, I experience significant anxiety and distress.","Yes, heart my not usually calm, worry also is much for me."
How severe is your headache on a scale of 1 to 10?,Ó ti tó ẹ̀wọn mẹ́jọ nísìnyí. Orí mi fẹ́ fọ́. Òótítọ́ ni.,It's about an eight now. My head feels like it's splitting. Seriously.,It has reached chain eight now. Head my wants break. Truth is.
Have you been drinking enough fluids?,"Rárá, mi ò fi bẹ́ẹ̀ mu omi púpọ̀ láti àná nítorí mo ń bì.","No, I haven't really drunk much water since yesterday because I've been vomiting.","No, I not really drink water much from yesterday because I am vomiting."
Can you describe the pain you are feeling?,"Ó ń fọ mí ní orí púpọ̀ bí ẹni fi òòlù lù mí, mo sì ń rí òjìji.","I have a severe throbbing headache, and I'm experiencing dizziness.","It is paining me in head much like someone hit me with hammer, I also am seeing shadows/dizziness."
When was the child's last meal?,"Ó ti tó wákàtí mẹ́rin báyìí tí kò ti jẹun, kò sì fẹ́ mú omi mọ́.","It's been about four hours since he last ate, and he doesn't want to drink water anymore.","It has been hours four now that he has not eaten, he also does not want to drink water anymore."
"How deep is the cut, and is it still bleeding heavily?","Ó jìn gan-an, ẹ̀jẹ̀ sì ńwà jáde lára rẹ̀ láìdáwọ́dúró.","It's very deep, and blood is continuously flowing out of it.","It is deep very, blood and is coming out body it without stopping."
Have you been exposed to anyone with a contagious illness recently?,"Kò sí ẹnikẹ́ni tó mo wà ní àyíká rẹ̀ láìpẹ́ tí ó báran pín, tàbí tí ó ní àrùn tó máa ń ràn.",There is no one I have been around recently who shared or had a contagious illness.,"Not is anyone that I was in around his recently that shared, or that had sickness that usually spreads."
Do you understand the risks and benefits of the surgery we discussed?,"Bẹ́ẹ̀ni, mo ti gbọ́ ọ̀rọ̀ yín, mo sì fẹ́ tẹ̀síwájú pẹ̀lú iṣẹ́ abẹ náà.","Yes, I have heard your explanation, and I wish to proceed with the surgery.","Yes, I have heard word your, I also want to proceed with work cut the."
That's correct. It's a procedure to remove your appendix. Are you comfortable with that?,"Mo bẹ̀rù díẹ̀, ṣùgbọ́n bí ó bá ṣe pàtàkì ni, mo ti fohùn sí i.","I'm a bit scared, but if it's necessary, I have agreed to it.","I am scared a little, but if it if necessary is, I have agreed to it."
When was your last dental check-up?,"Ó ti pẹ́ tí mi ò lọ wo eyín mi mọ́, bóyá ọdún méjì sẹ́yìn.","It's been a long time since I last had my teeth checked, perhaps two years ago.","It has been long that I not go look teeth my anymore, maybe year two back."
Did you lose consciousness after hitting your head?,"Mo rí ìràwọ̀ díẹ̀, ṣùgbọ́n n kò wòó lulẹ̀ rárá.",I experienced brief visual disturbances but did not lose consciousness.,"I saw stars some, but I not fell down at all."
Your child's vaccination records are incomplete. We need to update them.,"Ó dára, dókítà. Ṣé mo lè ṣe é lónìí?","Okay, doctor. Can I do it today?","It is good, doctor. Can I do it today?"
"Good morning, what brings you to the hospital today?","Ẹ káàárọ́, Dókítà. Orí mi ń fọ̀ mí, ara mi sì gbóná.","Good morning, Doctor. I have a headache and a fever.","Good morning, Doctor. Head my is paining me, body my also hot."
Have you noticed any swelling in your legs?,"Bẹ́ẹ̀ni, ẹsẹ̀ mi wú kò sì fẹ́ tẹ̀ mọ́lẹ̀ dáadáa.","Yes, my legs are swollen and I can't bear weight on them properly.","Yes, leg my swollen not also want to step down well."
Do you have any known medical conditions?,"Bẹ́ẹ̀ ni, mo ní àìsàn àtọ̀gbẹ́.","Yes, I have diabetes.","Yes, I have sickness of sugar-urine."
"Good morning, what brings you to the hospital today?","Dokita, ìmọ̀lára gbogbo ara mi ò dára rárá, pẹ̀lú ìbà tó ga jù.","Doctor, I'm feeling very unwell, with a very high fever.","Doctor, feeling whole body my not good at all, with fever that high too much."
Have you had any recent surgeries?,"Rárá o, mi ò tíì ṣe iṣẹ́ abẹ kankan rí. Èmi àkọ́kọ́ ni èyí.","No, I haven't had any surgeries before. This is my first time.","No oh, I not yet done work surgery any before. Me first is this."
Did you lose consciousness at any point?,"Bẹ́ẹ̀ni, Dókítà. Àwọn ènìyàn sọ pé mo dákú fún ìṣẹ́jú díẹ̀ ṣáájú kí wọ́n tó mú mi wá síbí.","Yes, Doctor. People said I passed out for a few minutes before they brought me here.","Yes, Doctor. People said that I fainted for minute few before that they brought me come here."
Are you experiencing any changes in your vision?,"Bẹ́ẹ̀ni, ojú mi ń rìwọ́wọ́, kò sì ríran dáadáa.","Yes, my vision is blurry, and I can't see properly.","Yes, eye my is blurry, it also not sees well."
How would you describe your cough? Is it dry or do you bring up phlegm?,"Kókóro gbígbẹ ni, ṣùgbọ́n nígbà mìíràn, ó máa ń yọ sí mi lẹ́nu pẹ̀lú àtẹ́gùn.","It's a dry cough, but sometimes I cough up a little phlegm.","Cough dry it is, but sometimes, it usually shows in my mouth with phlegm."
"We will give you fluids first, then appropriate medication.",Ó ṣeun. Mo rò pé èmi yóò kú bí n kò bá wá síbí láyé àkókò.,Thank you. I think I would have died if I hadn't come here on time.,It did work. I think that I will die if I did not come here at time early.
How far along are you in your pregnancy?,"Mo ti wà ní oṣù keje báyìí, àbíyè kẹta mi nìyí tí ó bá fi jẹ́ pé Ọlọ́run gbà.","I am now in my seventh month, and this will be my third live birth if God permits.","I have been in month seven now, live birth third my is this that it if it is that God permits."
Are you experiencing any numbness or tingling sensations?,Apá mi òsì àti ẹsẹ̀ mi gbogbo ló ń gbọ̀n pẹ̀lú.,My entire left arm and leg are tingling/numb.,My arm left and leg all are shaking/numb also.
This child needs an intravenous drip urgently.,"Ẹ jọ̀wọ́, ṣe kò ní pa á lára? Ó kéré púpọ̀ fún àwọn abẹ́rẹ́ wọ̀nyí.","Please, will it not harm him? He's too small for these needles.","You please, will it not harm him body? He small very much for those needles."
We need your consent for this surgical procedure.,Ṣé iṣẹ́ abẹ yìí ṣe pàtàkì gan-an? Ṣé ewu wà nínú rẹ̀?,Is this surgery really important? Are there risks involved?,Is work cut this important very? Is risk present inside it?
Have you had a recent injury?,"Bẹ́ẹ̀ni, mo ṣubú láti orí àga ní ọjọ́ méjì sẹ́yìn, orí mi sì lu ilẹ̀ díẹ̀.","Yes, I fell from a chair two days ago, and my head hit the ground slightly.","Yes, I fell from top of chair in day two ago, my head also hit ground a little."
How long have you had this fever?,"Ó ti fẹ́rẹ̀ẹ́ tó ọjọ́ méjì báyìí, ara sì gbóná gan-an.",I've had a high temperature for almost two days now.,"It has almost reached day two now, body also hot very."
Do you have any skin rashes or itching?,"Bẹ́ẹ̀ni, ara mi ti bẹ̀rẹ̀ sí í yún gan-an láti àkókò díẹ̀ sẹ́yìn.","Yes, my body has started itching severely for some time now.","Yes, body my has started to itch very much from time a little back."
How would you describe your stress levels?,"Ìyáwó mi kú ní ọdún tó kọjá, nítorí náà, àìráàyè òye òkan mi pọ̀ púpọ̀ báyìí.","My wife passed away last year, so my stress levels are very high now.","Wife my died in year that passed, because of that, stress my is much much now."
Do you have a family history of heart disease or stroke?,"Bàbá bàbá mi kú nípasẹ̀ àrùn ọkàn, ìyá àyá mi sì ní ẹ̀gbàgbẹ́.","My paternal grandfather died from heart disease, and my maternal grandmother had a stroke.","Father father my died through disease heart, mother grandmother my also had stroke."
Are you experiencing any unusual side effects from your new medication?,"Bẹ́ẹ̀ni, ó máa ń yí mi lójú, àti pé ó máa ń mú mi rí èyí tí kò sí.","Yes, it makes me dizzy, and it makes me see things that are not there (hallucinations).","Yes, it tends to spin me eyes, and it tends to make me see that which is not there."
Good morning. What brings you to the hospital today?,"Ẹ káàárọ̀, Dókítà. Orí mi ń fọ̀ mí gan-an.","Good morning, Doctor. I have a severe headache.","Good morning, Doctor. My head is paining me very much."
Are you currently pregnant or could you be pregnant?,"Mo rò pé mo lè lóyún, torí pé oṣù mi ti pẹ́ díẹ̀.",I think I might be pregnant because my period is a bit late.,"I think that I can be pregnant, because month my has been late a little."
Do you have diabetes?,"Bẹ́ẹ̀ni, àìsàn ṣúgà wà lára mi, mo sì ti ń lọ ilé-ìwòsàn fún rẹ̀.","Yes, I have diabetes, and I've been attending the hospital for treatment.","Yes, sickness sugar exists on body my, I have been going hospital for it."
Are you currently taking any herbal remedies alongside your prescribed medication?,"Bẹ́ẹ̀ ni, mo ń lo àwọn ewé kan, mo rò pé yóò ràn mí lọ́wọ́ pẹ̀lú.","Yes, I'm using some herbs; I thought they would help me too.","Yes, I am using leaves some, I thought that it would help me also."
Are you a diabetic patient?,"Bẹ́ẹ̀ni, mo ní àìsàn àtọ̀gbẹ, mo sì ń mú oògùn rẹ̀.","Yes, I have diabetes, and I am taking its medication.","Yes, I have illness diabetes, I am taking medicine its."
Do you feel pain during urination?,"Bẹ́ẹ̀ni, Dókítà. Tí mo bá ń tọ̀, ó máa ń rún mi, ó sì máa ń sun mí gan-an.","Yes, Doctor. When I urinate, it feels like it's burning me, and it stings me severely.","Yes, Doctor. If I usually am passing-urine, it usually grinds me, it and usually burns me very-much."
Have you noticed any changes in your hearing?,"Bẹ́ẹ̀ni, ó ti ń ṣòro fún mi láti gbọ́ ohun púpọ̀. Ó sì dàbí ẹni pé mo wà nínú òkè.","Yes, it has been difficult for me to hear many things. And it feels like I'm in a tunnel.","Yes, it has been difficult for me to hear sound much. It also resembles one that I am inside mountain."
Have you been under any significant stress lately?,"Bẹ́ẹ̀ni, iṣẹ́ mi máa ń wúwo gan-an. Ó sì ti nímọ̀lára gbogbo ara mi.","Yes, my job has been very demanding. It's been affecting my whole body.","Yes, work my usually heavy very. It and has been feeling whole body my."
"Congratulations, you're pregnant! Have you experienced any morning sickness?","Bẹ́ẹ̀ni, mo máa ń bímọ láyé ní gbogbo owúrọ̀, ó sì ń mú kí ara mi rẹ̀ láyé gbogbo.","Yes, I experience morning sickness every morning, and it makes me feel tired all the time.","Yes, I usually vomit in morning in all morning, it and it is making body my tired in all time."
Are you feeling sad or irritable?,"Bẹ́ẹ̀ni, ẹ̀dùn ọkàn ń bá mi jà, mo sì rọra bínú.","Yes, I'm struggling with sadness, and I get angry easily.","Yes, sorrow heart is fighting me, I am quick to anger."
Are you sleeping well at night?,"Bẹ́ẹ̀kọ́, orun kì í tètè gbé mi, tàbí kí n sùn fún ìgbà pípẹ́. Mo máa ń jí léraléra.","No, I don't fall asleep easily, or sleep for long. I wake up repeatedly.","No, sleep does not quickly take me, or I sleep for long time. I usually wake up repeatedly."
How often do you check your blood sugar levels?,"Nígbà mìíràn ni mo máa ń yẹ ẹ́ wò, kì í ṣe lójoojúmọ́.","I check it sometimes, not daily.","At another time is I usually check it, not everyday."
How many tablets of paracetamol did you take?,Mo mu tábúlẹ̀ méjì. Ṣé ó pọ̀ jù bẹ́ẹ̀ lọ?,I took two tablets. Is that too much?,I took tablet two. Is it much more than so is it?
Are you experiencing any shortness of breath?,"Bẹ́ẹ̀ni, èmi ò lè mí dáadáa, ó sì wúwo fún mi láti rìn láìsí èémí gbígbóná.","Yes, I can't breathe properly, and it's hard for me to walk without becoming breathless.","Yes, I not can breathe well, it also is heavy for me to walk without breath hot."
It's important to start antenatal care early. We'll do some tests and check the baby's heartbeat.,Mo dúpẹ́. Ṣé gbogbo nǹkan yóò dára bí? Mo ti rí àlá burúkú láti ọ̀sẹ̀ díẹ̀.,Thank you. Will everything be alright? I've been having bad dreams for a few weeks.,I thank. Will all things will be good if? I have been seeing dream bad from week few.
Are you currently experiencing any chest pain?,"Bẹ́ẹ̀ ni, àyà mi máa ń fún mi nígbà kan náà, ó sì máa ń gbóná pẹ̀lú.","Yes, my chest feels constricted at times, and it also feels hot.","Yes, chest my usually constricts me at time same, it and usually hot with."
Have you missed any doses of your medication recently?,"Bẹ́ẹ̀ ni, mo gbàgbé láti mu egbòogi àárọ̀ mi lónìí. Ó máa ń ṣẹlẹ̀ nígbà díẹ̀.","Yes, I forgot to take my morning medication today. It happens occasionally.","Yes, I forgot to take medicine morning my today. It always happens sometimes."
Have you been vomiting recently?,"Bẹ́ẹ̀ni, mo ti bì púpọ̀ lẹ́ẹ̀mejì lónìí, ó sì rí bí omi.","Yes, I have vomited twice today, and it looked like water.","Yes, I have vomited much two times today, it looks like water."
What did you eat before you started feeling unwell?,"Mo jẹ àmàlà pẹ̀lú ọbẹ̀ ewédú ní òru tó kọjá, lẹ́yìn náà ni inú mi bẹ̀rẹ̀ sí í dun.","I ate amala with ewedu soup last night, and then my stomach started to ache.","I ate amala with soup ewedu last night, after that is it that my stomach started to ache."
Do you have a history of asthma or difficulty breathing?,"Bẹ́ẹ̀ni, mo ní àrùn ikọ́ fée, mo sì máa ń lo ìfunsílẹ̀.","Yes, I have asthma, and I use an inhaler.","Yes, I have disease cough wheeze, I also always use puffer."
Has he had any fever or difficulty breathing?,"Bẹ́ẹ̀ni, ibà wà ní ara rẹ̀, èémí rẹ̀ sì kúkúrú nígbà mìíràn.","Yes, he has a fever, and his breathing is sometimes short (shallow).","Yes, fever is in his body, his breath also is short sometimes."
Do you use any form of family planning?,"Bẹ́ẹ̀ni, mo ti ń lo àjẹsára ìṣàkóso ìbí fún ọdún méjì báyìí.","Yes, I've been using birth control injections for two years now.","Yes, I have been using vaccine control birth for year two now."
Have you experienced any unexplained weight loss recently?,"Mo ti rù lára láì mọ ìdí rẹ̀, mo sì ti rù tó bíi kílógírámù márùn-ún.",I've lost weight inexplicably; I've lost about five kilograms.,"I have lost weight on body without know reason its, I also have lost about kilogram five."
Have you noticed any swelling in your legs or ankles?,"Bẹ́ẹ̀ni, ẹsẹ̀ mi wú fúfú, àti níṣàlẹ̀ ìrọ́kẹ̀kẹ̀ mi pẹ̀lú.","Yes, my legs are swollen, and also below my ankles.","Yes, leg my swollen completely, and below ankle my also."
Have you noticed any unusual bleeding after childbirth?,"Bẹ́ẹ̀ni, ẹ̀jẹ̀ náà pọ̀ jù bí ó ti yẹ, kò sì fẹ́ dáwọ́ dúró.","Yes, the bleeding is heavier than it should be, and it doesn't want to stop.","Yes, blood the is much too like it should, it not also want to stop."
Have you considered any family planning options?,"Bẹ́ẹ̀ni, mo fẹ́ mọ̀ nípa àwọn ọ̀nà tí ó lè dá mi dúró láti bímọ fún ìgbà díẹ̀.","Yes, I want to know about methods that can prevent me from having children for some time.","Yes, I want know about the ways that it can stop me stand from giving birth for time little."
Have you taken any medication for the pain or fever yet?,Mo ti lo Panadol ṣùgbọ́n kò mú ibà náà dín kù rárá.,"I have used Panadol, but it didn't reduce the fever at all.",I have used Panadol but not make fever the reduce at all.
What part of your head hurts the most?,Ibi iwájú orí mi àti ẹ̀gbẹ́ orí mi ni ó ti ń ro mí púpọ̀ jù.,The front of my head and the sides of my head hurt the most.,Place front head my and side head my is it is hurting me much most.
Are you having any problems when you urinate?,Ó máa ń ta mí lára nígbà tí mo bá ń tọ̀. Mo sì máa ń tọ̀ lọ́pọ̀lọpọ̀.,It stings me when I urinate. And I urinate frequently.,It usually stings me in body when I usually am urinating. I also usually urinate frequently.
Do you use any form of contraception?,"Bẹ́ẹ̀ni, mo ń lo àwọn ìgbẹ́kẹ̀lé ètò ìbísí, àmọ́ mi ò fi bẹ́ẹ̀ rí i lò báyìí.","Yes, I use family planning methods, but I haven't been using them much lately.","Yes, I am using the trusts of family planning, but I have not so seen to use it now."
What did you eat last night before you started feeling unwell?,"Mo jẹ ìyán àti ẹgúsí lálẹ́ àná, ṣùgbọ́n mo ti máa ń jẹ́ bẹ́ẹ̀.","I ate pounded yam and egusi soup last night, but I usually eat that.","I ate pounded yam and egusi last night, but I have been used to it thus."
Where exactly do you feel the pain?,"Ó ń dun mí ní apá ọ̀tún ìyàláyà mi, ó sì lọ sí ẹ̀yìn.","It's hurting me on the right side of my chest, and it radiates to my back.","It is paining me at arm right chest my, it also goes to back."
"Before we proceed, do you have any last-minute questions?","Rárá o, gbogbo ohun tí mo fẹ́ mọ̀ ni a ti sọ fún mi.","No, everything I wanted to know has been explained to me.","No, all things that I want to know, they have been told to me."
How many times a day do you have diarrhea?,"Mo ti yàgbẹ́ tó ẹ̀ẹ̀mẹ́rin sí ẹ̀ẹ̀márùn-ún lóyín, ó sì ní òórùn ríro.","I have had diarrhea about four to five times today, and it has a foul smell.","I have defecated about four times to five times today, it also has smell bad."
Is there any history of this condition in your family?,"Rárá, Dókítà. Mi ò mọ̀ pé ẹnikẹ́ni nínú ìdílé mi ní irú àìsàn yìí.","No, Doctor. I don't know anyone in my family who has this type of illness.","No, Doctor. I don't know that anyone in my family has type sickness this."
Has your menstrual cycle changed recently?,"Bẹ́ẹ̀ni, ó ti ń pẹ́, kò sì dé nígbà tó yẹ.","Yes, it has been delayed and did not arrive when expected.","Yes, it has been delaying, it also not arrived when it due."
"Do you use an inhaler, and if so, how often?","Bẹ́ẹ̀ni, mo ní ìfúnpọ̀n, mo sì máa ń lò ó nígbà tí mími bá kún mi.","Yes, I have an inhaler, and I use it when I have difficulty breathing.","Yes, I have inhaler, I and usually use it when breathing fills me."
Did you take anything for the pain before coming here?,"Bẹ́ẹ̀ni, mo mu tàbúlẹ̀ pára kan, ṣùgbọ́n kò ṣiṣẹ́ kankan.","Yes, I took a paracetamol tablet, but it didn't work at all.","Yes, I drank tablet para one, but it did not work any."
We need to perform a minor surgery. Do you understand the procedure and its risks?,"Bẹ́ẹ̀ni Dókítà, mo gbọ́ye rẹ̀. Ṣé àdéhùn ni láti tọ́jú mi, kò sí ìṣòro kankan.","Yes Doctor, I understand it. I consent to be treated, there are no problems.","Yes Doctor, I understand it. Is agreement to treat me, no problem any."
Have you had malaria recently?,"Bẹ́ẹ̀ni, wọ́n sọ pé mo ní ibà ní ọ̀sẹ̀ méjì sẹ́yìn, mo sì mu oògùn rẹ̀.","Yes, I was diagnosed with malaria two weeks ago, and I took the prescribed medication.","Yes, they said I have fever in week two back, I also drank medicine its."
Have you been exposed to anyone with a contagious illness?,"Bẹ́ẹ̀ni, aládùúgbò mi kan ṣẹ̀ṣẹ̀ tún ti kó àìsàn àkóràn kan láìpẹ́.","Yes, one of my neighbors recently contracted a contagious illness again.","Yes, neighbor my one just again has caught illness contagious one recently."
Do you experience any pain when urinating?,"Bẹ́ẹ̀ni, ó máa ń dùn mí gan-an nígbà tí mo bá ń tọ̀.","Yes, I feel a lot of pain when I urinate.","Yes, it always pains me very much when I am urinating."
How long have you been experiencing this headache?,Ó ti tó ọjọ́ méjì báyìí tí orí mi ti ń fọ́ mi.,My head has been aching for about two days now.,It has been two days now that my head has been paining me.
Did you complete the course of antibiotics I prescribed?,"Rárá o, mi ò parí rẹ̀ torí mo rò pé oògùn náà ti gbógun ti àìsàn náà.","No, I didn't finish it because I thought the medication had cured the illness.","No oh, I not finish it because I thought that medicine the had fought illness the."
"We will give you medication to bring it down, but also need to investigate the cause. Please relax.","Mo dúpẹ́, Dókítà. N óò gbìyànjú láti sinmi. Àyà mi ti ń gbà wùyíwùyí.","Thank you, Doctor. I will try to relax. My chest has been beating fast.","I thank, Doctor. I will try to relax. My chest has been beating fast."
You need to regulate your sugar intake for your diabetes.,"Ṣé èyí túmọ̀ sí pé kò gbọ́dọ̀ jẹun dídùn rárá, tàbí díẹ̀ ni mo lè jẹ?","Does this mean I shouldn't eat sweet foods at all, or can I eat a little?","Is this means that it not must eat sweet food at-all, or a little is I can eat?"
"For the child, is there any difficulty feeding or has his appetite changed?","Kò fẹ́ jẹun bíi ti tẹ́lẹ̀ mọ́, ó sì ń kọ̀ jẹun.",He doesn't want to eat like before anymore; he refuses food.,"Not want eat like that before anymore, he also is refusing eat."
Have you felt the baby move recently?,"Bẹ́ẹ̀ni, ó ń tẹ́rù sí mi láti àárọ̀ títí di báyìí.","Yes, it has been kicking me since morning until now.","Yes, it is kicking me from morning until now."
We need to perform a small surgery. Do you give your consent?,"Bẹ́ẹ̀ni, Dókítà, mo gbọ́. Mo fọwọ́ sí i. Ṣùgbọ́n, ṣe kò ní ewu kankan?","Yes, Doctor, I understand. I consent to it. But, won't there be any risks?","Yes, Doctor, I hear. I agree to it. But, is it not having risk any?"
Is the diarrhea accompanied by blood or mucus?,"Bẹ́ẹ̀ni, Dókítà. Mímí mi yìí pẹ̀lú ẹ̀jẹ̀ díẹ̀ àti ìrùfẹ́ àkàtàn kan. Ó ti lé ní igba lónìí.","Yes, Doctor. My stool contains a little blood and some mucous-like discharge. I've passed stool more than twenty times today.","Yes, Doctor. My stool this with blood a-little and discharge-like a-certain. It has passed over twenty today."
What did you eat before you started feeling unwell?,"Ewédú àti gbègìrì ni mo jẹ ní àrọ̀, pẹ̀lú iṣu àṣáró.",I ate Ewédú and Gbègìrì with yam porridge in the morning.,"Ewedu and Gbegiri is what I ate in morning, with yam porridge."
"For the children's vaccination, is this their first dose?","Bẹ́ẹ̀ni, ó jẹ́ àkọ́kọ́ fún ọmọ kékeré náà.","Yes, it is the first dose for the youngest child.","Yes, it is first for child small the."
Are you a smoker?,"Bẹ́ẹ̀kọ́, dòkítà. N kò mu sìgá, n kò sì jẹ́ kí n gbóòórùn rẹ̀.","No, doctor. I do not smoke, and I avoid inhaling smoke.","No, doctor. I not smoke cigarette, I not also let I smell its odor."
Have you been diagnosed with malaria recently?,"Bẹ́ẹ̀ni, wọ́n sọ pé ibà ni, wọ́n sì fún mi ní oògùn.","Yes, they said it was malaria, and they gave me medication.","Yes, they said that fever is, they and gave me medicine."
How many times have you vomited today?,"Mo ti pọ̀tì lẹ́ẹ̀mẹ́ta báyìí, gbogbo ohun tí mo bá jẹ ni ó ń jáde.",I have vomited three times already; everything I eat comes out.,"I have vomited three times now, all thing that I would eat is it is coming out."
Do you smoke or drink alcohol?,"Rárá o, mi ò mu sìgá, mi ò sì mu ọtí líle rárá.","No, I don't smoke, and I don't drink strong alcohol at all.","No oh, I not take cigarette, I not take alcohol strong at all."
Do you understand the risks involved with this surgery?,"Bẹ́ẹ̀ni, Dọ́kítà. Mo gbọ́ ohun gbogbo tí ẹ ti ṣàlàyé fún mi àti pé mo fọkàn tán yín.","Yes, Doctor. I understand everything you've explained to me and I trust you.","Yes, Doctor. I understand thing everything that you have explained for me and I trust you."
Are you experiencing any pain during sexual intercourse?,"Bẹ́ẹ̀ni, ó máa ń dùn mí púpọ̀ nígbà tí mo bá bá ọkọ mi lòpọ̀.","Yes, I experience a lot of pain when I have intercourse with my husband.","Yes, it always hurts me much when I have sex with husband my."
Have you noticed any blood in your urine or stool?,"Bẹ́ẹ̀ni, mo ti rí ẹ̀jẹ̀ nínú àtọ̀ mi lẹ́ẹ̀kan ṣoṣo ní òwúrọ̀ yìí.","Yes, I saw blood in my urine just once this morning.","Yes, I have seen blood in my urine once only this morning."
Does anyone in your family have a history of diabetes or hypertension?,"Bẹ́ẹ̀ni, Dókítà. Bàbá mi ní àìsàn ṣúgà, ìyá mi sì ní ẹ̀jẹ̀ ríru.","Yes, Doctor. My father has diabetes, and my mother has hypertension.","Yes, Doctor. Father my has illness sugar, mother my also has blood high."
Where exactly do you feel the pain?,"Ìrora náà wà ní abẹ́ inú mi, ó sì máa ń pọn mí.","The pain is in my lower abdomen, and it feels like a sharp ache.","Pain the is in under inside my, it also always makes me ache."
Are you feeling dizzy or lightheaded at all?,"Bẹ́ẹ̀ ni, òye ń pa mí gan-an. Gbogbo ayé ń yí mi ká.","Yes, I feel very dizzy. The whole world is spinning around me.","Yes, understanding is killing me very much. All world is spinning me around."
Have you experienced any vomiting or diarrhoea?,Mo ti bì lẹ́ẹ̀mejì àti ìgbẹ́ rírọ̀ ti ń lọ mí nígbà mẹ́rin.,I have vomited twice and had loose stools four times.,I have vomited twice and stool soft has been going me times four.
We need to admit you for observation. Is that acceptable?,"Bẹ́ẹ̀ni, Dókítà, mo gbọ́. Ṣé àyẹ̀wò wo ni ẹ fẹ́ ṣe fún mi?","Yes, Doctor, I understand. Which test do you want to conduct for me?","Yes, Doctor, I hear. Which test is it you want to do for me?"
What is your main concern today?,"Ibà náà ti pẹ́ jù, mo sì fẹ́ mọ ohun tí ó fa á àti bí a ṣe lè wò ó sàn.","This fever has lasted too long, and I want to know its cause and how to treat it.","Fever that has long too, I also want to know thing that it caused it and how we can treat it good."
How long have you been experiencing this headache?,"Ó ti fẹ́rẹ̀ẹ́ tó ọjọ́ mẹ́ta báyìí, kò sì fẹ́ tètè lọ rárá.","It has been almost three days now, and it doesn't want to go away quickly at all.","It has almost to day three now, it not still want quickly go at all."
"How long have you had this cough, and is it dry or do you bring up phlegm?","Ó ti pẹ́ díẹ̀, ó sì jẹ́ ikọ́ gbígbẹ ní àwọn ìgbà kan, àmọ́ ní àwọn ìgbà míì mo máa ń hó yíyọ.","It's been a while, and sometimes it's a dry cough, but other times I bring up phlegm.","It has been long a bit, it is cough dry in some times, but in other times I used to cough up phlegm."
Are you allergic to any medications?,"Bẹ́ẹ̀ni, mo máa ń kọ́ ògùn Pènìsílììnì, ara mi á máa fín lẹ́yìn tí mo bá mu un.","Yes, I am allergic to Penicillin; my body breaks out in a rash after I take it.","Yes, I usually reject medicine Penicillin, body my will usually itch after that I take it."
Are you currently feeling any stress or anxiety?,"Bẹ́ẹ̀ni, àníyàn púpọ̀ wà lọ́kàn mi nípa iṣẹ́ mi.","Yes, I have a lot of worries about my job.","Yes, worry much is in heart my about work my."
"Are you experiencing any other symptoms, like coughing or sneezing?","Bẹ́ẹ̀ni, mo ńkọ́ púpọ̀ àti pé èémí mi kò rọrùn. Ọ̀fun mi sì ńdun mí.","Yes, I'm coughing a lot and finding it difficult to breathe. My throat also hurts.","Yes, I am coughing much and that breath my not easy. Throat my also is paining me."
Have you noticed any change in your voice?,"Bẹ́ẹ̀ni, ohùn mi ti yípadà díẹ̀, ó sì máa ń rún mi lẹ́nu.","Yes, my voice has changed a bit, and I often feel hoarse.","Yes, voice my has changed a bit, it usually raspy me in mouth."
Did you take any pain relievers before coming here?,"Bẹ́ẹ̀ ni, mo mu òògùn egbòogi kan, ṣùgbọ́n kò ran mi lọ́wọ́ púpọ̀.","Yes, I took some pain medicine, but it didn't help me much.","Yes, I took medicine pain one, but it not helped me much."
Do you have any problems sleeping?,"Bẹ́ẹ̀ni, orí mi kì í balẹ̀ láti sùn dáadáa ní alẹ́, kò sì sí oorun.","Yes, I can't settle down to sleep properly at night; I experience insomnia.","Yes, my head does not settle down to sleep well at night, and there is no sleep."
Good morning. What brings you to the hospital today?,"Ìbà gígbona ara ni ó mú mi wá ilé-ìwòsàn, kò sì tíì lọ fún ọjọ́ púpọ̀.","I have had a high fever for several days, which brought me to the hospital.","Fever hot body is it made me come hospital, it not yet gone for days many."
"Okay, please lie down so we can check your baby's position. Do you feel lightheaded?","Bẹ́ẹ̀ni, dókítà. Òyì máa ń kọ mí nígbà mìíràn, mo sì máa ń rẹ̀wẹ̀sì.","Yes, doctor. I sometimes feel dizzy and tired.","Yes, doctor. Dizziness usually strikes me at other times, I also usually feel tired."
Do you have trouble sleeping at night?,"Bẹ́ẹ̀ni, Dókítà. Kò rọrùn fún mi láti sùn, àyàfi tí mo bá ti rẹ̀ mí jù.","Yes, Doctor. It's not easy for me to sleep, unless I'm extremely tired.","Yes, Doctor. It not easy for me to sleep, except if I have been tired too-much."
Do you feel any pain in your lower abdomen?,"Bẹ́ẹ̀ni, inú mi lábẹ́ ń dún bíi pé ó fẹ́ bímo.","Yes, I have pain in my lower abdomen as if I am about to give birth.","Yes, my inside below is sounding as if it wants to give birth."
