Doctor_English,Patient_Yoruba,Clinical_Translation_English,diacritic_risk
Have you been told you have an irregular heartbeat that needs monitoring or treatment?,Dọ́kítà sọ pé ọkàn mi máa ń lu ní ọ̀nà tó yàtọ̀. Wọ́n fún mi ní oògùn àti sọ pé kí n padà wá ṣùgbọ́n mi ò lọ.,"Atrial fibrillation diagnosed and partially treated without follow-up, creating risk of inadequate anticoagulation for stroke prevention, subtherapeutic rate control, and undetected paroxysmal AF episodes, requiring immediate rhythm assessment and CHA2DS2-VASc scoring.",LOW
"Has the cough been getting progressively worse over months, or did it start suddenly?","Ikọ́ mi ti ń burú síwájú sí i fún oṣù mẹ́fà. Kò bẹ̀rẹ̀ lójijì, ó jẹ́ díẹ̀díẹ̀.","Insidious onset of progressively worsening cough over six months without acute precipitant, a pattern more consistent with chronic pathology such as malignancy, tuberculosis, or interstitial lung disease than with acute infection.",LOW
"Do you smoke, drink alcohol, or use any traditional herbal medicines regularly?","Mi ò mu sìgá, ṣùgbọ́n mo máa ń mu ògógóró lẹ́ẹ̀kan ní ọ̀sẹ̀. Mo tún máa ń mu àgbo oògùn tí agbàdo mi fún mi.",Patient denies tobacco use but reports weekly alcohol consumption and regular use of traditional herbal preparations. Hepatotoxicity and drug-herb interactions must be considered in the clinical assessment.,LOW
Has your appetite changed recently — are you eating more or less than usual?,Ìfẹ́kúfẹ̀ẹ́ mi ti pọ̀ sí i ní oṣù mẹ́fà. Mo jẹ lọ́pọ̀lọpọ̀ ṣùgbọ́n mo ń tẹ̀nìí síwájú sí i. Ó ń jẹ mí ìbànújẹ́.,"Paradoxical weight loss despite polyphagia in a patient with increased appetite, the classic presentation of uncontrolled hyperthyroidism or type 1 diabetes where caloric intake cannot compensate for hypermetabolic state or urinary glucose loss respectively.",LOW
"Have you been praying and fasting specifically for healing from this illness, and has it brought you comfort?",Mo ti ń gbàdúrà àti àwẹ̀ fún ìwòsàn lẹ́yìn àrùn mi. Ó ń fun mi ní ìtùnú ṣùgbọ́n àrùn kò ti yẹ̀. Mo ń tẹ̀síwájú mu oògùn.,"Concurrent spiritual practices and medical treatment in a patient finding comfort in faith while maintaining medication adherence, a positive integration of spiritual and biomedical care that should be supported and documented as part of holistic patient-centred care.",LOW
Have you noticed your urine turning very dark or cola-coloured after exercise or illness?,"Nígbà tí mo bá ń ṣeré sáájú tàbí nígbà àìsàn, ito mi máa ń di dúdú bí kọfì. Ó ti ṣẹlẹ̀ lẹ́ẹ̀mẹ́ta.","Exercise or illness-triggered haemoglobinuria producing dark urine on three occasions, consistent with glucose-6-phosphate dehydrogenase deficiency, march haemoglobinuria, or paroxysmal nocturnal haemoglobinuria.",LOW
Have you been told you have sleep apnoea and were you offered any treatment?,Dọ́kítà sọ pé mo ní àrùn mímí ní ìsùn ní ọdún kan sẹ́yìn ṣùgbọ́n ko ṣe àbẹ̀wò mọ́. Mi ò gba oògùn tàbí ẹrọ kankan.,"Obstructive sleep apnoea without treatment initiation one year post-diagnosis, creating ongoing cardiovascular and neurocognitive risk, requiring CPAP titration study and urgent sleep clinic follow-up.",LOW
"Have you been able to afford three meals a day, or have there been days when you went without food?","Ní ọjọ́ kan tàbí méjì ní ọ̀sẹ̀, mi ò jẹ oúnjẹ tó pọ̀. Owó di kúrú lẹ́yìn ikú ọkọ mi.","Food insecurity with skipped meals on one to two days per week following the death of the household breadwinner, indicating a socioeconomic determinant of malnutrition requiring social work referral alongside nutritional supplementation.",LOW
"How long have you had this skin rash, and does it look the same as when it first appeared?",Àpá náà ti wà fún ọ̀sẹ̀ mẹ́fà. Ó ti yí padà láti irú ìwọ̀ pupa díẹ̀ sí ẹ̀gbọ̀n tó gbẹ tó ń yọ báyìí.,"Evolving rash over six weeks with morphological change from erythematous macules to hyperkeratotic plaques, indicating a dynamic process such as psoriasis guttate evolving to plaque type, or a mycosis requiring skin biopsy to exclude fungal infection or cutaneous lymphoma.",LOW
"How long has the child had this fever, and have there been any days when the temperature completely returned to normal?","Ọmọ mi ní ibà fún ọjọ́ mẹ́wàá. Ní ọjọ́ mẹ́ta, o dára díẹ̀ ṣùgbọ́n ibà padà ní ọjọ́ kẹrin. Ko parí rárá.","Fever of ten days duration with incomplete resolution and relapse on day four, indicating an inadequately treated bacterial infection, drug-resistant malaria, typhoid fever, or a non-infectious fever from juvenile idiopathic arthritis or malignancy requiring systematic investigation.",LOW
Have you had any difficulty accessing your regular medications during the fuel scarcity or strikes?,"Nígbà ìdẹ́kun ọkọ̀ àti aawọ epo tó kọjá, mi ò lè de ilé ìwòsàn fún oṣù kan. Mo pari oògùn mi àti kò rà tuntun.","One month of medication interruption during a period of industrial action and fuel scarcity, illustrating how systemic socioeconomic disruptions directly impact medication adherence and chronic disease management in the Nigerian healthcare context.",LOW
"Have you been having any unusual sensitivity to medications, with small doses causing big reactions?",Oògùn tó ń ṣiṣẹ́ fún àwọn ẹlòmíràn ní ìwọ̀n nla máa ń ṣe mí ìyọnu ní iwọ̀n kéékèéké. O ti ṣẹlẹ̀ pẹ̀lú oògùn mẹ́ta tó yàtọ̀.,"Unusual drug sensitivity across multiple drug classes suggesting pharmacogenomic variation, hepatic enzyme deficiency, or an underlying autoimmune condition affecting drug metabolism, requiring pharmacogenomic testing.",LOW
"Have you ever had a similar skin condition before, and did anything particular trigger it?","Mo ní àpá kan bẹ́ẹ̀ nígbà tí mo jẹ ọmọ ọdún mẹ́wàá. Ó dára lẹ́yìn oṣù kan. Bẹ́ẹ̀ ni, ìbánújẹ́ ló máa ń jẹ́ kí èyí bẹ̀rẹ̀.","Childhood history of similar cutaneous eruption with spontaneous resolution, with the current episode associated with psychosocial stress, consistent with stress-triggered atopic eczema or psoriasis flare.",LOW
"Have you been told you need to monitor your INR, and are you having regular blood tests for this?",Mo ń mu warfarin fún ọdún méjì ṣùgbọ́n mi ò ṣe ìdánwò INR rẹ̀ fún oṣù mẹ́fà. Ó gbọ̀ mi pé ó gbọdọ̀ wà ní ìwọ̀n kan.,"Warfarin therapy without INR monitoring for six months creating significant under or over-anticoagulation risk with either thrombosis or haemorrhage, requiring immediate INR check and structured anticoagulation clinic enrolment.",LOW
"Since your spinal cord injury, have you been having any difficulty knowing when your bladder or bowel is full?","Láti ìjàǹbá ẹ̀hin mi, mi ò lè mọ̀ nígbà tí ìkùn ito mi kún. Mo ti ṣe ito nínú àṣọ mi lẹ́ẹ̀mẹ́ta ní ọ̀sẹ̀ kan.","Neurogenic bladder with loss of bladder sensation and three episodes of urinary incontinence in one week following spinal cord injury, requiring urodynamic assessment, intermittent self-catheterisation training, and continence specialist referral.",LOW
"Have you been diagnosed with sleep apnoea, and are you using your CPAP machine every night?",A fún mi ní ẹrọ CPAP ní ọdún kan sẹ́yìn ṣùgbọ́n mo lo rẹ̀ lẹ́ẹ̀mejì tàbí mẹ́ta ní ọ̀sẹ̀ nìkan. Ó ń ṣe mí ìdẹ́rùbamọ̀ àti mi ò lè farada rẹ̀.,"CPAP non-adherence with fewer than three nights per week usage in a patient with obstructive sleep apnoea, creating persistent nocturnal hypoxaemia and cardiovascular risk, requiring mask fitting review, pressure optimisation, and CPAP tolerance support.",LOW
Have you been having any dizziness specifically when you stand up from lying flat?,"Nígbà tí mo bá jáde nínú ibùsùn yára, orí mi yípo fún ìṣẹ́jú díẹ̀. Mo ní láti di ohun kan mú. O ti ń ṣẹlẹ̀ ní ọjọ́-ọjọ́.","Orthostatic hypotension causing symptomatic presyncope on lying to standing requiring lying and standing blood pressure, volume status assessment, and medication review for causative antihypertensives or diuretics.",LOW
"Have you had this symptom since childhood, or is it something that has started later in life?",Mo ti ní àrùn awọ ara mi láti ọmọ ọdún mẹ́fa. Ó máa ń burú ní àwọn ìgbà-ìgbà àti yẹ̀ ní ìgbà mìíràn. Kò tíì lọ pátápátá rí.,"Lifelong atopic condition from age six with episodic exacerbations and incomplete remissions, consistent with atopic eczema persisting into adulthood, which is often more refractory than childhood disease and requires step-up therapy with dupilumab or systemic immunosuppression.",LOW
Have you noticed your lips or fingernails turning blue at any point?,Àwọn ọmọ mi sọ pé ète mi di dúdú-búlúù nígbà tí mo ń gbẹ̀ ikọ́. Mo sì rí pé ìlà ẹsẹ̀ mi tún yí padà.,"Reported central and peripheral cyanosis during coughing episodes, indicating critical oxygen desaturation requiring immediate pulse oximetry and respiratory support assessment.",LOW
"Have you started your periods yet, and do you have any concerns about them being irregular or painful?",Mo bẹ̀rẹ̀ oṣù mi ní ọdún kan sẹ́yìn ṣùgbọ́n kò ń wáyé ní ìgbà tó yẹ. Irora rẹ̀ le tó jẹ́ kí n dúró sí ilé ní ọjọ́ kan.,"Secondary amenorrhoea with irregular cycles and dysmenorrhoea causing school absence in an adolescent one year post-menarche, warranting evaluation for polycystic ovarian syndrome, hyperprolactinaemia, and endometriosis.",LOW
Have you received a dog bite or scratch from any animal in the past few months?,Ajá adágún kan jẹ ọwọ́ mi ní ọjọ́ mẹ́tàlá sẹ́yìn ní abúlé. A kò ṣe oògùn rábíìsì fún mi níbẹ̀.,"Dog bite from an unvaccinated stray animal thirteen days prior with no post-exposure rabies prophylaxis administered, representing a time-sensitive emergency requiring immediate wound management, rabies immunoglobulin, and vaccine initiation.",LOW
Have you been experiencing any unusual sensations in your tongue or lips since starting a new medication?,Ète àti ahọ́n mi ti bẹ̀rẹ̀ sí hu bíi àbẹ̀rẹ̀ ń gún wọn lẹ́yìn tí mo bẹ̀rẹ̀ oògùn tuntun. O ti ń ṣẹlẹ̀ fún ọ̀sẹ̀ méjì.,"Drug-induced oral paraesthesia from a new medication requiring identification of causative agent, with common culprits including ACE inhibitors, metronidazole, and nitrofurantoin.",LOW
"Have you been told you are at high risk for heart disease, and has anyone calculated your ten-year risk?",Dọ́kítà kan sọ pé eewu ọkàn mi ga ṣùgbọ́n kò fi ẹ̀rọ kankan ṣe iṣiro rẹ̀. Ó sọ nìkan pé kí n máà jẹ ọ̀rá.,"Verbal cardiovascular risk communication without formal risk score calculation using validated tools such as Framingham or WHO risk charts, preventing accurate risk stratification and potentially leading to under- or over-treatment of modifiable risk factors.",LOW
"Do you have any concerns about your fertility, or have you had any investigations done for this?","A ti gbìyànjú fún ọdún mẹ́ta láìsí oyún. Ìyàwó mi ti ṣe àyẹ̀wò, a sọ pé ó dára. Ìdánwò mi kò tíì ṣe.","Three years of primary infertility with normal female partner evaluation and no male factor assessment performed, indicating the urgent need for semen analysis as the next diagnostic step in the infertility workup.",LOW
Have you been having any episodes of intense burning or pain in your feet at night?,Ẹsẹ̀ mi méjèéjì máa ń jó bíi iná ní alẹ́. Ó ń jí mi dìde ní àárọ̀. Mo máa ń bọ̀ wọ́n sínú omi tutù láti gba ìtura.,"Burning foot pain requiring cold water immersion at night, characteristic of small fibre neuropathy from diabetes, alcoholism, or B12 deficiency requiring nerve conduction studies and skin punch biopsy.",LOW
"Have you ever experienced any sexual abuse or assault, and would you like to talk about how it has affected you?",Nǹkan bùrúkú ṣẹlẹ̀ sí mi nígbà tí mo wà lọ́mọdé. Mi ò sọ rẹ̀ fún ẹnìkẹ́ni rí. O ń tún wáyé nínú irọ̀lẹ́ mi.,"Disclosure of childhood sexual abuse with persistent nightmares and lifelong secrecy, indicating post-traumatic stress disorder requiring trauma-informed care, specialist psychological therapy, and a non-judgmental, patient-led disclosure process.",LOW
Have you been told that you snore very loudly and that your children have started sleeping in another room?,Àwọn ọmọ mi ti lọ sùn ní yàrá mìíràn nítorí ìró ìrọ̀lẹ́ mi. Ìyàwó mi sọ pé mi ò mí fún àárọ̀ nígbà-ìgbà. Ó bẹ̀rù fún mi.,"Witnessed apnoeas with household-disrupting snoring severe enough to displace children from the bedroom, indicating significant obstructive sleep apnoea requiring overnight pulse oximetry or polysomnography and CPAP therapy assessment.",LOW
"How much water or fluid do you drink each day, and what types of drinks do you usually have?","Mo máa ń mu omi díẹ̀, ṣùgbọ́n mo máa ń mu omi soda àti omi àgbàdo lọ́pọ̀lọpọ̀ nínú ọjọ́ kan.","Inadequate plain water intake with high consumption of carbonated beverages and sweetened drinks, contributing to excessive sugar intake, dental caries risk, and potential glycaemic dysregulation particularly in at-risk individuals.",LOW
"Has your vision or hearing changed significantly, and has this affected your confidence in going out?",Gbígbọ́ mi àti ojú mi ti bàjẹ́ díẹ̀díẹ̀. Mo ti dáwọ̀ jade nìkan dúró nítorí mo bẹ̀rù ìṣubú.,"Dual sensory impairment with progressive visual and hearing loss leading to fear of falling and agoraphobia, a common but under-recognised geriatric syndrome requiring sensory correction and falls prevention intervention.",LOW
"Have you been drinking sachet water, tap water, or borehole water, and has it been treated?",A máa ń mu omi borehole tí àdúgbò wa ń pin. Ọ̀pọ̀lọpọ̀ ènìyàn lo ọmọ orin kan ṣoṣo. A kò máa ń ṣe àlẹ̀ rẹ̀.,"Shared untreated borehole water consumption without purification in a densely populated community, a high-risk scenario for waterborne disease transmission including cholera, typhoid fever, and hepatitis A, requiring community water quality testing and household treatment education.",LOW
"Is the swelling in your face worse in the morning and better by the evening, or the other way around?","Ojú mi máa ń wú ní àárọ̀ owúrọ̀ tó ń rọ ní ọ̀sán. Ní òrùlé ọjọ́, ẹsẹ̀ mi bẹ̀rẹ̀ sí wú dípò.","Facial oedema predominating in the morning with dependent shift to lower limb by evening, consistent with nephrotic syndrome where hypoalbuminaemia causes positional oedema redistribution rather than purely dependent cardiac oedema.",LOW
Have you had any rectal bleeding with a lump that comes out when you go to the toilet and needs to be pushed back?,"Ẹjẹ̀ pupa ń jáde nígbà tí mo bá ń ṣe ìgbẹ́, àti nǹkan kan ń jáde nínú ìdọ̀tí mi tí mo máa ń fi ọwọ́ tẹ̀ padà.","Prolapsing haemorrhoids with rectal bleeding and manual reduction required, consistent with grade three haemorrhoidal disease requiring proctoscopy to confirm and surgical haemorrhoidectomy or banding consideration.",LOW
Have you been experiencing recurrent boils or skin abscesses and have they been cultured?,Mo ti ní ọgbẹ́ tó ń jẹ̀ ẹjẹ̀ lórí ìdí mi àti ìhà àyà mi lẹ́ẹ̀mẹ́fà ní ọdún kan. Kò sí ẹni tó ṣe ìdánwò nínú wọn.,"Recurrent furunculosis without microbiological culture raising concern for MRSA colonisation, requiring nasal swab and fasting glucose for diabetes.",LOW
"Does taking a deep breath make the pain worse, and do you find yourself breathing shallowly to avoid it?",Mí jìnnà ń mú irora àyà mi buru sí i. Mo ti bẹ̀rẹ̀ sí mí kéké nítorí ìbẹ̀rù irora. Ó ń mú ki mí mi kúrú.,"Pleuritic chest pain causing voluntary respiratory splinting with secondary hypoventilation, indicating pleural pathology from pleurisy, pneumonia, pulmonary embolism, or rib fracture, with the splinting itself creating risk for atelectasis and pneumonia.",LOW
"Did the vomiting start before or after the diarrhoea, and by how many hours?","Ìgbẹ́ è gbọn bẹ̀rẹ̀ ṣáájú ìgbẹ́ gbuuru, bóyá wákàtí méjì ṣáájú. Ọjọ́ kanna ni wọ́n wáyé méjèéjì.","Vomiting preceding diarrhoea by two hours, a sequence typical of viral gastroenteritis or Staphylococcal food poisoning where upper gastrointestinal symptoms dominate initially before lower GI involvement, distinct from cholera where profuse watery diarrhoea typically precedes vomiting.",LOW
"Have you been using any pain patches, gels, or topical creams for your pain, and are they helping?",Mo ń lo ìpàrà irora lórí orúkún mi ní ọjọ́-ọjọ́ fún oṣù mẹ́fà. Ó ń ràn mí lọ́wọ́ díẹ̀ ṣùgbọ́n irora ń padà lẹ́yìn wákàtí díẹ̀. Mo nílò ohun tó dára jù.,"Partially effective topical analgesia for knee osteoarthritis with short duration of action, requiring step-up to intra-articular corticosteroid injection, hyaluronate, or physiotherapy-guided exercise programme alongside topical therapy optimisation.",LOW
"How far do you live from the nearest health facility, and how do you usually get there?",A ń gbé ní abúlé tó jìnnà sí ìlú. Ìlera tó tímọ́tímọ́ wà ní ìrìn wákàtí méjì. A máa ń lo ọkọ̀ alùpù nìkan.,"Rural patient residing two hours from the nearest health facility accessible only by motorcycle, indicating significant geographical barriers to healthcare access and delayed presentation risk for acute conditions.",LOW
Have you been having any symptoms that are worse in a new environment such as a new house or workplace?,"Ikọ́ mi àti ìmọ̀ ara mi bẹ̀rẹ̀ lẹ́yìn tí a yí ilé padà ní oṣù mẹ́fà sẹ́yìn. Nígbà tí mo bá jáde lọ fún oṣù-ẹ̀rọ, ó dára.","Building-related illness with symptom onset after moving to a new building and relief on leaving, consistent with sick building syndrome from mould, poor ventilation, or volatile organic compounds requiring building inspection and indoor air quality assessment.",LOW
"Have you had your blood pressure checked in the last year, and do you know what the numbers mean?",Dọ́kítà wọn ẹjẹ̀ mi ní ọdún méjì sẹ́yìn. Wọ́n sọ àwọn nọ́mbà náà ṣùgbọ́n mi ò gba ìtúmọ̀ wọn. Mi ò mọ̀ bóyá wọn dára tàbí bẹ́ẹ̀kọ́.,"Blood pressure measured two years ago without patient education on the values or their significance, a health literacy gap that prevents informed self-management and highlights the need for structured cardiovascular risk communication.",LOW
"Did the confusion start after a fall, or was it already present before any injury?","Ó ṣubú ní ilé, lẹ́yìn náà ni àwọn ẹbí rẹ̀ sọ pé inú rẹ̀ di àásìkí. Ṣùgbọ́n ojúlówó ó ń dàrú ṣáájú ìṣubú náà.","Pre-existing confusion confirmed by family prior to the fall event, suggesting the cognitive impairment caused the fall rather than resulting from it. Metabolic or neurological aetiology must be assessed.",LOW
"How old is the child, and is this the first time they have had this kind of illness?","Ọmọ mi jẹ́ ọmọ ọdún kan àbọ̀. Ìgbà àárọ̀ ni ó ń ṣàìsàn bẹ́ẹ̀, ó sì máa ń dára lẹ́yìn oògùn kí ó tó padà.","A nineteen-month-old child with a recurrent pattern of similar febrile illness responding to medication before relapsing, raising concern for a chronic underlying condition or recurrent infection such as malaria or urinary tract infection.",LOW
Have you been using any alcohol or substances to help you cope with how you are feeling?,Mo ti ń mu ọtí sí i lẹ́yìn ìdìpọ̀ àwọn ìṣòro mi. Mo máa ń mu bọ́ọ̀tù méjì tàbí mẹ́ta ní ọjọ́ kan.,"Escalating alcohol consumption of two to three bottles daily as a maladaptive coping mechanism for psychological distress, raising concern for alcohol use disorder complicating an underlying mood or anxiety disorder.",LOW
Where do you feel the burning sensation when you pass urine — inside or at the opening?,"Nígbà tí mo bá ń ṣe ito, irora tó dà bí iná ń jó mi ní ẹnu ìtọ mi, kò wà nísàlẹ̀ ikùn rárá.","Dysuria localised to the urethral meatus with no associated suprapubic pain, suggesting distal urinary tract involvement or urethritis.",LOW
"Is the child walking normally, or have you noticed any limping or refusal to walk?","Ọmọ mi ti kọ ìrìn dúró fún ọjọ́ méjì. Nígbà tí a gbìyànjú láti gbé e dìde, ó ń sọkún tó le.","Acute refusal to walk with inconsolable crying on weight-bearing for two days in a child, raising concern for septic arthritis, transient synovitis, or occult fracture requiring urgent orthopaedic assessment.",LOW
"Does the shortness of breath occur only at night, or throughout the day as well?","Mí mi kúrú jù ní àárọ̀ alẹ́, ó máa ń jí mi dìde. Ní ọ̀sán, ó máa ń yẹ̀ díẹ̀.","Paroxysmal nocturnal dyspnoea with partial diurnal relief, a hallmark presentation of left ventricular failure and pulmonary congestion.",LOW
"Has the patient been stung or bitten by an insect, and are they having any difficulty breathing or swallowing?","Ẹranko tó dà bíi ọ̀pọ̀lọpọ̀ ẹsẹ̀ jẹ ọwọ́ rẹ̀ ní ọgbà. Lẹ́yìn ìṣẹ́jú mẹ́wàá, ọfun rẹ̀ bẹ̀rẹ̀ sí wú àti mí rẹ̀ di ìṣòro.","Anaphylaxis following hymenoptera envenomation with rapid onset pharyngeal oedema and respiratory compromise within ten minutes, requiring immediate intramuscular adrenaline, intravenous antihistamine, and corticosteroid therapy.",LOW
Have you been avoiding coming to the hospital because of past negative experiences with healthcare workers?,"Ní ọdún méjì sẹ́yìn, ọmọ mi kú ní ilé ìwòsàn yìí. Mo ti ń yẹra fún rẹ̀ láti ìgbà náà. Irora mi ni ó mú mi wá lónìí.","Healthcare avoidance following bereavement at the facility two years ago, a profound grief and institutional trust barrier requiring compassionate acknowledgement, grief support referral, and assurance of quality improvement since that experience.",LOW
"Do you use any eye drops, ear drops, or skin creams regularly, even if they seem minor?","Mo ń lo ìpàrà awọ ara tó ń ṣe awọ ara funfun fún ọdún mẹ́ta. Mo ra a ní ọjà, kò ní àmì orúkọ kankan.","Prolonged use of an unlabelled skin-lightening cream for three years, raising concern for chronic topical corticosteroid or hydroquinone exposure with potential systemic absorption, adrenal suppression, and cutaneous complications including atrophy and telangiectasia.",LOW
Have you been told your prostate specific antigen is raised and have you had a biopsy?,PSA mi ga ní ọdún kan sẹ́yìn. Dọ́kítà sọ pé kí n padà wá ṣùgbọ́n mi ò lọ. Mo bẹ̀rù àbájáde.,"Elevated PSA without prostate biopsy follow-up due to fear, creating risk of delayed prostate cancer diagnosis, requiring reassurance, restaging PSA, and urology referral for MRI-targeted biopsy consideration.",LOW
Have you been having any burning or tingling in your feet that is worse at night?,Ẹsẹ̀ mi méjèéjì ń jó àti hu bíi àbẹ̀rẹ̀ ń gún wọn ní alẹ́. Ó máa ń buru sí i ní ìgbà tutù. O ti wà fún ọdún kan.,"Burning nocturnal paraesthesia in a stocking distribution over one year consistent with peripheral neuropathy from diabetes, B12 deficiency, or alcohol requiring nerve conduction studies and metabolic screen.",LOW
Have you noticed any improvement in your overall energy levels or mood since starting treatment?,"Lẹ́yìn oṣù kan lórí oògùn tuntun, àárẹ̀ mi ti dínkù díẹ̀. Inú mi tún ń dára díẹ̀. Ṣùgbọ́n ọ̀pọ̀lọpọ̀ àmì ṣì wà.","Partial treatment response with improved energy and mood but persistent residual symptoms after one month, indicating the need for dose optimisation, adequate treatment duration assessment, and consideration of adjunctive therapy rather than premature treatment change.",LOW
"Did the patient ingest any medications, household chemicals, or substances before becoming unwell?",A rí ọpọ̀n oògùn orun tó ṣòfò nítòsí rẹ̀. Ó sọ pé ó mu wọn gbogbo ní òru àná nítorí ìbànújẹ́.,"Intentional ingestion of an entire bottle of sleeping tablets in the context of acute psychological distress, constituting a deliberate self-poisoning emergency requiring gastric lavage consideration, activated charcoal, and urgent psychiatric assessment.",LOW
"Have you been told your bone density is low, and have you been on any treatment for osteoporosis?",Dọ́kítà sọ pé eegun mi fẹ̀ẹ́ lẹ́yìn ìdánwò DEXA ní ọdún méjì sẹ́yìn. A fún mi ní àwọn oògùn kálsíọ̀mù ṣùgbọ́n mi ò mu wọn déédéé.,"Confirmed osteoporosis on DEXA scan two years ago with calcium supplementation non-adherence, creating ongoing fracture risk particularly of the hip and vertebral spine, requiring bisphosphonate therapy initiation and fall prevention assessment.",LOW
"Has anyone ever performed CPR on you, or have you had a cardiac arrest before?","Bẹ́ẹ̀ ni, ọdún kan sẹ́yìn, wọ́n tẹ àyà mi ní ilé ìwòsàn nítorí ọkàn mi dáwọ̀. A fun mi ní ẹrọ mànàmáná lẹ́yìn náà.","Prior cardiac arrest requiring cardiopulmonary resuscitation and defibrillation, indicating a high risk for recurrent ventricular arrhythmia and necessitating implantable cardioverter-defibrillator assessment and electrophysiology review.",LOW
"How long have you had this ringing in your ear, and does it ever stop completely?","Etí mi ń rò fún oṣù mẹ́fà. Ko dáwọ̀ rárá, ó wà ní ìgbà gbogbo. Ó ti ń dẹ́kun ìsùn mi.","Constant unremitting tinnitus for six months causing sleep disruption, indicating chronic rather than episodic pathology, requiring audiological assessment for sensorineural hearing loss, MRI of the internal auditory meati to exclude acoustic neuroma, and tinnitus retraining therapy.",LOW
"Have you noticed any darkening of the skin in the folds of your body, such as your neck or armpits?",Ọrùn mi àti ìdẹ́ apá mi ti di dúdú síwájú sí i. Mo fẹ́ mọ̀ bóyá ó ní í ṣe pẹ̀lú àìsàn tàbí ìwẹ̀.,"Acanthosis nigricans affecting the neck and axillary folds, a cutaneous marker of insulin resistance commonly associated with obesity-related type two diabetes mellitus or, less commonly, internal malignancy.",LOW
Have you been having any shooting pains down your arms when you turn your head?,"Nígbà tí mo bá yí orí mi, irona bíi ìgbóná onítànná ń rọ sínú apá mi. O ń ṣẹlẹ̀ ní ìgbà-ìgbà fún oṣù mẹ́fà.",Cervical radiculopathy with neck movement-triggered arm radiation requiring MRI cervical spine and physiotherapy or surgical assessment for foraminal nerve root compression.,LOW
"Do you have anyone at home who depends on you for care, such as an elderly parent or a child with disability?",Mo ń tọ́jú ìyá mi tó ní àrùn ọpọlọ àti ọmọ mi kan tó ní àìṣeéṣe ara. Mo kò ní àkókò fún ara mi.,"Dual carer burden for a parent with dementia and a child with disability with no personal time allocation, indicating significant carer stress associated with burnout, depression, and physical health neglect requiring carer support services and respite care.",LOW
Have you been having any difficulty breastfeeding because of pain in your nipples?,Ọmú mi méjèéjì ń dùn mi gan-an nígbà tí ọmọ mi bá ń mu. O ń jẹ mí kígbe. Mo ń gbìyànjú pẹ̀lú ìgbà gbogbo.,"Severe bilateral nipple pain on breastfeeding requiring assessment for poor latch, tongue-tie, Raynaud's phenomenon of the nipple, and candidal infection before concluding on aetiology.",LOW
Have you noticed any change in your voice that has been getting progressively worse over months?,Ohùn mi ti di bẹ̀rẹ̀ díẹ̀ díẹ̀ fún oṣù mẹ́fà. Àwọn ọ̀rẹ́ mi sọ pé wọn kò gbọ́ mi dáradára mọ́ ní àpéjọ.,"Progressive dysphonia over six months causing communicative difficulty, requiring urgent laryngoscopy to exclude laryngeal carcinoma, vocal cord palsy, or benign vocal cord pathology such as nodules or polyps.",LOW
Has anyone in your family or community told you that this illness is caused by a spiritual problem or curse?,Àwọn alàgbà ìdílé sọ pé àìsàn mi jẹ́ àṣà àjọ̀. Wọ́n fẹ́ kí n lọ bàbáláwo kí ó tó ilé ìwòsàn. Mo dúró fún ọjọ́ mẹ́wàá ṣáájú kí n tó wá.,"Ten-day delay in healthcare presentation due to family and community attribution of illness to spiritual causation and insistence on traditional healer consultation first, illustrating the impact of cultural health beliefs on treatment-seeking behaviour and clinical outcomes.",LOW
"Have you been told you have polycystic ovaries, and are you trying to manage your weight or hormones?",Dọ́kítà ojú omi fihàn pé ẹ̀yìn mi ní ọ̀pọ̀lọpọ̀ àpò omi kéékèéké. Mo ní àìdára oṣù àti irun orí mi ń bọ̀. Mo wúwo jù.,"Polycystic ovarian syndrome with menstrual irregularity, androgenic alopecia, and obesity, requiring hormonal profile, fasting insulin, lipid screening, and structured lifestyle programme alongside pharmacological management of specific features.",LOW
"How old is the child, and has this type of illness happened before in the family?",Ọmọ mi jẹ́ ọmọ ọdún mẹ́ta. Ìyá rẹ̀ náà ní àìsàn bẹ́ẹ̀ nígbà tí ó wà lọ́mọdé.,"Three-year-old child with a maternal family history of similar illness in childhood, raising the possibility of a hereditary or familial condition warranting genetic screening.",LOW
Have you been having any problems with your memory that your family has noticed before you did?,Àwọn ọmọ mi sọ pé mo ti gbàgbé àwọn ìṣẹ̀lẹ̀ tuntun. Mo sì tún máa ń beere ìbéèrè kannáà ní ìgbà méjì. Ó bẹ̀rẹ̀ ní ọdún kan sẹ́yìn.,"Family-observed short-term memory impairment with perseverative questioning over one year, consistent with early Alzheimer's disease requiring MMSE, MoCA, and neuroimaging.",LOW
"Did the leg pain start at the same time as the swelling, or did one come before the other?","Wiwú ẹsẹ̀ mi bẹ̀rẹ̀ ṣáájú irora. Ẹsẹ̀ mi wú ní owúrọ̀, irora sì bẹ̀rẹ̀ ní ọ̀sán. Wọ́n wa papọ̀ ní báyìí.","Oedema preceding pain in a lower limb with subsequent convergence of both symptoms, a sequence more consistent with deep vein thrombosis where venous obstruction causes swelling first and inflammatory pain follows, than with cellulitis where pain typically precedes swelling.",LOW
