"Doctor_English","Patient_Yoruba","Clinical_Translation_English"
"Do you get any swelling in your abdomen that feels like fluid sloshing around inside?","Ikùn mi ti wú, nígbà tí mo bá rọ́ sí ẹ̀gbẹ́, mo ń gbọ́ ìró omi. Ó ti ń pọ̀ sí i fún oṣù méjì.","Progressive ascites with shifting dullness on clinical examination over two months, raising concern for hepatic cirrhosis, cardiac failure, or malignant peritoneal disease requiring urgent abdominal ultrasound and diagnostic paracentesis."
"Have you noticed that your legs are different sizes, with one being significantly more swollen than the other?","Ẹsẹ̀ ọ̀tún mi ti wú síwájú sí i ju ẹsẹ̀ òsì lọ. Ó bẹ̀rẹ̀ lẹ́yìn ìrìn-àjò gígùn, ó sì ń dùn nígbà tí a bá tẹ̀ ẹ́.","Asymmetric lower limb oedema with unilateral right-sided swelling, tenderness, and post-travel onset, constituting a classic presentation of deep vein thrombosis requiring urgent compression ultrasound and anticoagulation assessment."
"Do you experience any chest pain when you climb stairs, and does it go away when you stop?","Nígbà tí mo bá gùn ìtẹ̀lọ́ọ̀dọ̀, irora kéékèéké ń wáyé ní àyà mi. Nígbà tí mo bá dúró, ó máa ń lọ ní ìṣẹ́jú mẹ́ta.","Stable exertional angina with reproducible chest pain on stair climbing and relief within three minutes of rest, consistent with fixed coronary artery stenosis requiring stress testing and cardiology referral."
"Have you noticed any bluish discolouration of your fingers when they are exposed to cold?","Nígbà tí ojú ọjọ́ bá tutù tàbí mo bá fi ọwọ́ mi sínú omi tutù, ìlà ọwọ́ mi di àwọ̀ búlúù-funfun.","Cold-induced digital colour change with cyanotic and pallor phases on cold exposure, consistent with Raynaud's phenomenon, which may be primary or secondary to connective tissue disease, requiring autoimmune screening."
"Have you been told your cholesterol is high, and are you on any medication for it?","Dọ́kítà sọ pé ọrá ẹjẹ̀ mi ga ní ọdún mẹ́ta sẹ́yìn. A fún mi ní oògùn ṣùgbọ́n mo dáwọ̀ mu lẹ́yìn oṣù mẹ́fà nítorí irora iṣan.","Statin discontinuation after six months due to myalgia, a recognised side effect affecting up to ten percent of patients, requiring creatine kinase measurement and consideration of an alternative lipid-lowering agent to maintain cardiovascular risk reduction."
"Does the chest tightness feel like a heavy weight pressing on your chest?","Àyà mi ń dín mọ́ bí ẹni pé àpótí tó wúwo wà lórí rẹ̀. Ó ń wáyé nígbà tí mo bá ń ṣiṣẹ́ tàbí nígbà tí inú mi bá bí mi.","Pressure-like retrosternal chest tightness precipitated by exertion and emotional stress, the classic anginal description, requiring twelve-lead ECG, cardiac biomarkers, and urgent cardiology assessment."
"Have you had any episodes where your vision went completely black for a few seconds before recovering?","Lẹ́ẹ̀mẹ́ta, ojú mi di òkùnkùn pátápátá fún ìṣẹ́jú mẹ́ta ṣáájú kó tó padà. Mo ń dúró nígbà tí ó ń ṣẹlẹ̀.","Transient monocular or binocular visual loss lasting seconds to minutes with full recovery, consistent with amaurosis fugax from carotid artery disease or cardiac embolism, representing a transient ischaemic attack equivalent requiring urgent carotid imaging."
"Do you feel short of breath when you lie on your left side specifically?","Nígbà tí mo bá dubúlẹ̀ ní apá òsì, mí mi ń kúrú síwájú sí i ju àwọn ìgbà mìíràn lọ.","Trepopnoea with positional dyspnoea specifically in the left lateral decubitus position, a rare but specific symptom of pericardial effusion or left-sided pleural disease requiring echocardiography and chest imaging."
"Has anyone ever performed CPR on you, or have you had a cardiac arrest before?","Bẹ́ẹ̀ ni, ọdún kan sẹ́yìn, wọ́n tẹ àyà mi ní ilé ìwòsàn nítorí ọkàn mi dáwọ̀. A fun mi ní ẹrọ mànàmáná lẹ́yìn náà.","Prior cardiac arrest requiring cardiopulmonary resuscitation and defibrillation, indicating a high risk for recurrent ventricular arrhythmia and necessitating implantable cardioverter-defibrillator assessment and electrophysiology review."
"Have you been experiencing any weakness on one side of your body that comes and goes?","Apá àti ẹsẹ̀ ọ̀tún mi máa ń di àìlera fún ìṣẹ́jú díẹ̀, lẹ́yìn náà ó padà. Ó ti ṣẹlẹ̀ lẹ́ẹ̀mẹ́rin ní ọ̀sẹ̀ méjì.","Recurrent transient unilateral motor weakness on four occasions over two weeks with complete resolution, constituting transient ischaemic attacks requiring urgent carotid Doppler imaging, echocardiography, and antiplatelet therapy."
"Have you had any episodes of forgetting words in the middle of a sentence or calling things by the wrong name?","Ní ìgbà-ìgbà, mo máa ń fẹ́ sọ ọ̀rọ̀ kan ṣùgbọ́n orúkọ rẹ̀ kò jáde. Mo máa ń pè àwọn nǹkan ní orúkọ tó yàtọ̀.","Anomic aphasia with word-finding difficulty and paraphasia, indicating dominant hemisphere language area dysfunction potentially secondary to cerebrovascular disease, brain tumour, or neurodegenerative process."
"Does the headache affect your ability to see clearly, and does light make it worse?","Nígbà tí orí mi bá ń fọ̀, ojú mi ń ṣòòfà díẹ̀. Ìmọ̀lẹ̀ ń jẹ ki irora náà buru sí i, mo máa ń bò ara mi nínú ibọ̀.","Migraine with visual disturbance and photophobia prompting light-avoidance behaviour, fulfilling diagnostic criteria for migraine with or without aura requiring acute abortive therapy and preventive management."
"Have you been having difficulty swallowing, and does food or drink sometimes go down the wrong way?","Oúnjẹ àti omi máa ń wọ ọ̀nà tó yàtọ̀ nígbà-ìgbà, ó ń jẹ́ kí n kúkú. Mo ti ní ìsẹ̀lẹ̀ mẹ́ta bẹ́ẹ̀ ní oṣù kan.","Oropharyngeal dysphagia with aspiration episodes on three occasions in the past month, indicating neurological or structural pharyngeal pathology and significant aspiration pneumonia risk requiring videofluoroscopic swallowing study."
"Have you been told you walk like you are drunk, even when you have not had any alcohol?","Àwọn ọ̀rẹ́ mi sọ pé mo ń rìn bí ẹni tó mu ọtí, ṣùgbọ́n mi ò mu ọtí. Mo tún máa ń sọ ohun lẹ́yìn tí mo bá ń sọ ọ̀rọ̀.","Cerebellar ataxia with broad-based gait and slurred speech without alcohol use, indicating cerebellar pathology requiring MRI posterior fossa imaging to exclude cerebellar degeneration, tumour, or demyelinating disease."
"Have you been experiencing any ringing or buzzing in your ears, and is it in one or both ears?","Etí ọ̀tún mi ń rò ní ìgbà-ìgbà bí ẹni pé àgọ̀ kéékèéké wà nínú rẹ̀. Ó bẹ̀rẹ̀ oṣù mẹ́ta sẹ́yìn.","Unilateral right-sided tinnitus of three months duration, which when combined with ipsilateral hearing loss and vertigo would constitute Ménière's triad, or in isolation may indicate acoustic neuroma requiring audiological assessment and MRI internal auditory meati."
"Have you been having trouble sleeping — either difficulty falling asleep or waking up too early?","Mo máa ń jí dìde ní àárọ̀ ìmọ́lẹ̀ fún oṣù mẹ́fà, mi ò sì lè padà sùn. Mo ń rò ọ̀pọ̀lọpọ̀ nǹkan nígbà yẹn.","Early morning awakening with inability to return to sleep and ruminative cognition for six months, a pattern of insomnia strongly associated with major depressive disorder and requiring combined sleep hygiene intervention and psychiatric evaluation."
"Have you been snoring loudly at night, and has anyone told you that you stop breathing while asleep?","Ìyàwó mi sọ pé ìró ìrọ̀lẹ́ mi gbóná, àti pé ní ìgbà-ìgbà ó máa ń rí mi dáwọ̀ mí dúró fún ìṣẹ́jú díẹ̀.","Witnessed apnoeic episodes during sleep with loud snoring reported by the spouse, the hallmark features of obstructive sleep apnoea requiring polysomnography and assessment for cardiovascular complications and daytime somnolence."
"Have you noticed any changes in your sense of smell or taste recently?","Ní oṣù mẹ́ta, òórùn àti ìtọ́ oúnjẹ ti yí padà fún mi. Oúnjẹ tó máa ń dára jù ni mo máa ń jẹ kò ní ìtọ́ mọ́.","Anosmia and dysgeusia of three months duration, which may indicate post-viral olfactory nerve damage, anterior cranial fossa pathology, or Parkinson's disease in which hyposmia frequently precedes motor symptoms by years."
"Have you been having involuntary movements of your face, tongue, or limbs that you cannot control?","Ẹnu mi àti ahọ́n mi máa ń gúnjú lórí ara wọn láìsí ìfẹ́ mi. Ó ń ṣẹlẹ̀ nígbà tí mo bá sinmi, kò ń wáyé nígbà tí mo bá sùn.","Oro-facial dyskinesia with involuntary tongue and facial movements at rest that disappear during sleep, consistent with tardive dyskinesia secondary to prolonged antipsychotic or metoclopramide use requiring medication review."
"Has your handwriting changed significantly and become smaller or harder to read?","Kikọ mi ti di kéré àti tó ṣòro láti kà. Àwọn ọ̀rẹ́ mi sọ pé wọ́n kò lè kà rẹ̀ mọ́. Ó ti jẹ́ bẹ́ẹ̀ fún ọdún kan.","Progressive micrographia over one year, a specific neurological finding strongly associated with Parkinson's disease reflecting the hypokinesia and rigidity of fine motor control in the dominant hand."
"Have you been feeling pins and needles or numbness specifically after sitting or lying in one position?","Nígbà tí mo bá jókòó fún wákàtí kan, àwọn ìlà ẹsẹ̀ mi máa ń hu bí ẹni pé àbẹ̀rẹ̀ ń gún wọn. Ó máa ń dára nígbà tí mo bá dìde.","Positional paraesthesia relieved by movement, most commonly due to peripheral nerve compression rather than systemic neuropathy, but requiring assessment in the context of the patient's other symptoms to exclude progressive neuropathic disease."
"Have you ever been diagnosed with hepatitis B or C, and are you on any treatment for it?","A sọ fún mi ní ọdún mẹ́fà sẹ́yìn pé mo ní jedojedo B. Wọ́n fún mi ní oògùn fún ọ̀sẹ̀ díẹ̀ lẹ́yìn náà kò sí nǹkan mọ́.","Hepatitis B diagnosis six years ago with incomplete treatment follow-up, raising concern for chronic active hepatitis, cirrhosis progression, and hepatocellular carcinoma risk, requiring hepatitis B viral load, liver function tests, and hepatology referral."
"Have you recently been around anyone diagnosed with meningitis, and have you been vaccinated against it?","Ọmọ ilé ẹ̀kọ́ ọmọ mi ni wọ́n sọ pé ó ní àrùn ọpọlọ àárọ̀. Wọ́n kò fún ọmọ mi ní àjesara rẹ̀.","Close school-based contact with a confirmed meningitis case in an unvaccinated child, constituting a public health emergency requiring immediate chemoprophylaxis with rifampicin and urgent meningococcal vaccination of all close contacts."
"Have you noticed any painless sore on your skin that has not healed, particularly on your leg or foot?","Ọgbẹ́ kéékèéké kan wà ní ẹsẹ̀ mi tó wà fún oṣù méjì. Kò ń dùn rárá, kò sì ń sàn bí mo tilẹ̀ pa ọ̀gbọ̀ mọ́ ọn.","Chronic painless lower limb ulcer of two months duration without healing despite wound dressing, the clinical presentation of a Buruli ulcer caused by Mycobacterium ulcerans or a neuropathic diabetic foot ulcer, both requiring specialised wound care."
"Have you had any contact with animals, particularly rats, or been in a flooded area recently?","A rí eku ọ̀pọ̀lọpọ̀ nínú ilé wa lẹ́yìn ìkún omi. Mo máa ń tẹ ìtọ́ eku nígbà tí mo bá ń fọ ìlẹ̀ ilé.","Rodent infestation following flooding with direct contact with rat urine during cleaning activities, constituting significant leptospirosis exposure requiring clinical surveillance and empirical doxycycline treatment if symptomatic."
"Have you been experiencing any burning or tingling in the area of an old chickenpox scar?","Ní ẹ̀gbẹ́ ìdí mi, ibi tí àpá àjèjì ti ṣẹlẹ̀ nígbà mo wà lọ́mọdé, ìró iná ń wáyé fún ọjọ́ mẹ́ta ṣáájú àpá tuntun náà.","Prodromal dermatomal burning and paraesthesia preceding vesicular eruption in a dermatome corresponding to a prior varicella scar, the classic presentation of herpes zoster reactivation requiring early antiviral therapy to reduce post-herpetic neuralgia risk."
"Have you had diarrhoea with blood or mucus in it, along with cramping abdominal pain and fever?","Ìgbẹ́ mi ní ẹjẹ̀ àti omi líle nínú fún ọjọ́ mẹ́ta. Irora ikùn tó le ń tẹ̀lé rẹ̀, àti ibà mi tún wà.","Dysenteric syndrome with bloody mucoid diarrhoea, colicky abdominal pain, and fever for three days, consistent with invasive enterocolitis from Shigella, Entamoeba histolytica, or Campylobacter, requiring stool microscopy and culture."
"Have you had any recent injections or blood tests at a facility where you were unsure of the needle safety?","Mo ṣe ìdánwò ẹjẹ̀ ní ilé ìwòsàn àdúgbò ní oṣù kan sẹ́yìn. Mi ò rí bóyá abẹ́rẹ̀ tuntun ni wọ́n lo.","Potential exposure to bloodborne pathogens through an injection or venepuncture of uncertain sterility one month ago, warranting baseline HIV, hepatitis B, and hepatitis C serology and repeat testing at the appropriate window period."
"Have you noticed any swelling of your lymph glands in the groin, and is there any associated sore nearby?","Èso wà ní ìdì mi ọ̀tún tó ti ń pọ̀ fún ọ̀sẹ̀ méjì. Ọgbẹ́ kéékèéké kan tún wà ní ẹsẹ̀ ìsàlẹ̀ ẹ̀gbẹ́ náà.","Unilateral inguinal lymphadenopathy with an ipsilateral distal limb ulcer, raising concern for lymphogranuloma venereum, chancroid, or primary syphilis with reactive adenopathy, requiring swab culture and serological testing."
"Have you had any ear discharge, and has this been going on for a long time since childhood?","Etí mi ọ̀tún ń ṣàn láti ìgbà tí mo wà lọ́mọdé. Ó máa ń burú nígbà tí mo bá wẹ tàbí nígbà tí mo bá ní otutu.","Chronic suppurative otitis media with longstanding unilateral ear discharge since childhood, exacerbated by water exposure and upper respiratory infections, requiring audiological assessment and ENT evaluation for cholesteatoma."
"Have you noticed any painless swelling in your groin or scrotum that increases when you stand or cough?","Ìdì mi ọ̀tún ń wú nígbà tí mo bá dúró. Nígbà tí mo bá gbẹ ikọ́, ó pọ̀ sí i. Mo lè fi ọwọ́ tẹ̀ ẹ́ padà.","Reducible inguinal swelling increasing on Valsalva manoeuvre consistent with an indirect inguinal hernia, requiring surgical assessment to determine elective versus urgent repair and to exclude strangulation risk."
"Have you had any sores inside your mouth or on your tongue, alongside fever and body aches?","Ọgbẹ́ kéékèéké tó ń dùn wà nínú ẹnu mi àti lórí ahọ́n mi. Ibà àti irora ara ń tẹ̀lé wọn. Ó bẹ̀rẹ̀ lẹ́yìn ọjọ́ mẹ́ta.","Painful oral ulceration with systemic features of fever and myalgia, consistent with primary herpes simplex stomatitis, herpangina from coxsackievirus, or the mucosal manifestation of primary HIV infection."
"Have you travelled internationally recently, and did you take any malaria prevention medication?","Mo padà wá láti Cameroon ní ọjọ́ mẹ́wàá sẹ́yìn. Mi ò mu oògùn ìdáàbòbò fún àrùn ibà. Ẹfọn jẹ mí lọ́pọ̀lọpọ̀ níbẹ̀.","Return from a malaria-endemic West African country ten days ago without chemoprophylaxis and significant mosquito exposure, presenting within the incubation period for Plasmodium falciparum malaria and requiring urgent thick and thin blood film examination."
"Has your child ever had swelling of the hands or feet as a baby, along with crying and irritability?","Bẹ́ẹ̀ ni, nígbà tí ọmọ mi jẹ́ oṣù mẹ́fà, ọwọ́ àti ẹsẹ̀ rẹ̀ wú, ó sì ń sọkún tó burú jù. A wọ ilé ìwòsàn fún ọjọ́ mẹ́ta.","Dactylitis in infancy with bilateral hand and foot swelling and pain crisis requiring hospitalisation, the earliest clinical manifestation of sickle cell disease, indicating the need for haemoglobin electrophoresis if not yet performed."
"Have you been told your blood count is low, and do you know which part of your blood is affected?","Dọ́kítà sọ pé ẹjẹ̀ mi kéré ṣùgbọ́n kò ṣàlàyé bóyá ẹ̀jẹ̀ funfun, pupa, tàbí àwo ẹjẹ̀ ni ó kúrú.","Undifferentiated cytopenia without patient education on the specific cell line affected, requiring a full blood count with differential to determine whether the deficiency is erythrocytic, leukocytic, or thrombocytic and guide further investigation."
"Have you been experiencing bone pain, particularly in your back, ribs, or hips?","Ẹ̀hin mi, ìbàdí mi, àti ìhà àyà mi ń dùn fún oṣù mẹ́ta. Irora náà kò ń lọ pátápátá, ó máa ń burú ní alẹ́.","Axial skeletal pain involving the back, pelvis, and ribs with nocturnal worsening over three months in an older patient, raising significant concern for multiple myeloma requiring serum protein electrophoresis, Bence Jones protein, and skeletal survey."
"Has anyone ever told you that your spleen is enlarged, and have you had it checked recently?","Dọ́kítà kan sọ pé ẹ̀dọ̀ ìhà òsì mi ti pọ̀ ní ọdún méjì sẹ́yìn. Mi ò ṣe àyẹ̀wò mọ́ lẹ́yìn náà.","Previously documented splenomegaly without subsequent follow-up or investigation of the underlying aetiology, requiring repeat abdominal examination and ultrasound to assess for progression and investigate causes including haematological malignancy, portal hypertension, or chronic infection."
"Have you been getting repeated mouth ulcers alongside a persistent sore throat and fever?","Ọgbẹ́ ẹnu mi ń wáyé ní ìgbà-ìgbà. Ọfun mi tún ń dùn, ibà sì ń tẹ̀lé. Ó ti jẹ́ bẹ́ẹ̀ fún oṣù mẹ́fà.","Cyclical oral ulceration with recurrent pharyngitis and fever over six months, consistent with cyclic neutropenia or agranulocytosis, requiring serial full blood counts to demonstrate the periodic nadir of neutrophil count."
"Have you noticed your urine turning very dark or cola-coloured after exercise or illness?","Nígbà tí mo bá ń ṣeré sáájú tàbí nígbà àìsàn, ito mi máa ń di dúdú bí kọfì. Ó ti ṣẹlẹ̀ lẹ́ẹ̀mẹ́ta.","Exercise or illness-triggered haemoglobinuria producing dark urine on three occasions, consistent with glucose-6-phosphate dehydrogenase deficiency, march haemoglobinuria, or paroxysmal nocturnal haemoglobinuria."
"Have you been experiencing excessive fatigue alongside yellowing of your skin after taking certain medications?","Lẹ́yìn tí mo mu oògùn àrùn ìbà, awọ ara mi di pàálu àti àárẹ̀ mi pọ̀ sí i. Dọ́kítà sọ pé ẹjẹ̀ mi ń fọ.","Drug-induced haemolytic anaemia manifesting as jaundice and fatigue following antimalarial therapy, consistent with G6PD deficiency-related oxidative haemolysis triggered by primaquine or dapsone exposure."
"Has your child been told they are severely anaemic during routine checks, and have you been given iron supplements?","Dọ́kítà ilé-ìwòsàn àdúgbò sọ pé ẹjẹ̀ ọmọ mi kéré gan-an. A fún wa ní ìrọ̀bí irin ṣùgbọ́n ọmọ mi kọ jíjẹ rẹ̀.","Severe paediatric anaemia identified at a community health visit with iron supplementation prescribed but refused by the child, requiring dietary iron counselling, liquid formulation consideration, and investigation for underlying malaria or hookworm infestation as a contributory cause."
"Have you been told you have leukaemia or any blood cancer, and what treatment have you been offered?","Dọ́kítà ní ilé ìwòsàn gíga sọ pé mo ní àrùn jẹjẹrẹ ẹjẹ̀ fún oṣù mẹ́ta. Wọ́n sọ fún mi nípa oògùn kẹmíkà ṣùgbọ́n mi ò bẹ̀rẹ̀ rẹ̀.","Recently diagnosed haematological malignancy with offered chemotherapy not yet commenced three months post-diagnosis, indicating treatment delay that may allow disease progression and requires urgent oncology re-engagement and psychosocial support."
"Have you had any unusual bleeding from your gums, nose, or into your skin in the form of bruises?","Ẹjẹ̀ ń jáde nínú imu mi ní ìgbà-ìgbà, ẹ̀jẹ̀ tún ń jáde nínú eyín mi nígbà tí mo bá jẹun. Mo tún ní àwọn ọgbẹ́ aró tó pọ̀ lára mi.","Multi-site spontaneous bleeding including epistaxis, gingival haemorrhage, and extensive ecchymoses forming a haemorrhagic diathesis, raising urgent concern for thrombocytopaenia, coagulation factor deficiency, or disseminated intravascular coagulation."
"Does your child appear pale, tired, and less active than other children of the same age?","Ọmọ mi kò ṣeré pẹ̀lú àwọn ọmọ mìíràn mọ́. Ó máa ń jókòó nìkan, ojú rẹ̀ ti di funfun. Ó ti jẹ́ bẹ́ẹ̀ fún oṣù méjì.","Pallor, exercise intolerance, and social withdrawal in a child over two months, clinical features of significant anaemia in a paediatric patient requiring urgent full blood count, peripheral blood film, and malaria rapid diagnostic test."
"Have you been told your iron levels are very low, and do you know why you might be losing iron?","Ìdánwò fihàn pé irin nínú ẹjẹ̀ mi kéré pupọ̀. Dọ́kítà kò ṣàlàyé ìdí rẹ̀. Mo jẹ ẹran díẹ̀ àti ẹ̀fọ tó tó.","Iron deficiency without identified aetiology or patient education on causation, requiring investigation for occult gastrointestinal blood loss, menorrhagia, malabsorption, or dietary insufficiency before initiating replacement therapy."
"Are you finding it harder to remember appointments, names, or where you put your belongings?","Mo gbàgbé àwọn ìpàdé mi ní ìgbà-ìgbà. Mo sọ orúkọ àwọn ọ̀rẹ́ mi tó jìnnà àti mo gbàgbé ibi tí mo ti fi àwọn nǹkan mi.","Progressive episodic memory impairment affecting appointments, proper nouns, and object location — early features of amnestic mild cognitive impairment or early Alzheimer's disease requiring formal neuropsychological assessment."
"Have you had any difficulty recognising familiar faces, including close family members?","Ní ìgbà-ìgbà, mo máa ń wo ọmọ mi ní pípẹ́ ṣáájú kí n tó mọ̀ rẹ̀. Ẹẹ̀kan, mi ò mọ̀ ìyàwó mi nígbà tí ó wọ inú yàrá.","Prosopagnosia with failure to recognise a spouse, indicating significant temporal-occipital lobe dysfunction beyond normal ageing and consistent with moderate to advanced dementia requiring multidisciplinary assessment and carer support."
"Are you currently living alone, and who would you contact if you had a medical emergency?","Mo ń gbé nìkan. Àwọn ọmọ mi wà ní Abuja àti Lọ́ndọ̀n. Mi ò ní ọ̀rẹ́ tó wà nítòsí tí yóò ràn mí lọ́wọ́.","Elderly patient living alone without proximate social support, with children residing in geographically distant locations, indicating significant vulnerability and the need for emergency care planning, medical alert systems, and community support services."
"Have you been having any problems with your feet, such as sores, thickened nails, or difficulty cutting them?","Ẹsẹ̀ mi ń dùn nítorí àwọn àgàdo tó ga. Ìlà ẹsẹ̀ mi pọ̀ àti kúnjú, mo sì kò lè gé wọn mọ́ nítorí ojú mi kò ríran.","Diabetic or geriatric foot complications including corns, onychomycosis, and inability to perform self-nail care due to visual impairment, creating a significant infection risk requiring podiatric assessment and diabetic foot surveillance."
"Has the patient been wandering at night or trying to leave the house unsafely?","Ìyá mi jí ní òru lẹ́ẹ̀mẹ́ta ó sì gbìyànjú láti jáde lọ. Ó sọ pé ó ń lọ ṣiṣẹ́, ṣùgbọ́n ti fẹ́yìntì nígbà pípẹ́.","Nocturnal wandering with disorientation to time and place — believing she is going to work from which she retired long ago — indicating a moderate stage of dementia with behavioural and psychological symptoms requiring environmental safety modification and possible pharmacological intervention."
"Have you been experiencing any urinary leakage when you cough, sneeze, or laugh?","Nígbà tí mo bá gbẹ ikọ́ tàbí rẹ́rìn-ín, ito máa ń jáde díẹ̀ láìsí ìfẹ́ mi. Ó ń jẹ ẹlẹ́yà mi àti mo ń yẹra fún àwọn ẹlòmíràn.","Stress urinary incontinence with social withdrawal due to embarrassment, a common but under-reported condition in elderly and parous women, requiring pelvic floor physiotherapy assessment and consideration of surgical intervention if conservative measures fail."
"Have you had any recent bone fracture from a minor fall or bump that would not normally break a bone?","Mo ṣubú lẹ́yìn ìjókòó kéékèéké, ẹsẹ̀ ìhà àyà mi sì ya. Dọ́kítà sọ pé ó yà nítorí ìjàǹbá kéékèéké tó ṣeni lẹ́nu.","Fragility fracture of a rib following a minor mechanical fall, diagnostic of osteoporosis by clinical criteria and requiring DEXA scanning, fracture risk assessment, calcium, vitamin D, and bisphosphonate therapy."
"Are you able to get in and out of the bath or shower safely, and do you use any grab rails?","Mo ṣubú nínú ìwẹ̀ ní oṣù kan sẹ́yìn. A kò ní àtìlẹ́yìn kankan nínú ìwẹ̀. Ọmọ mi sọ pé a máa ń rà á.","Bathroom fall one month ago in the absence of grab rails or assistive equipment, indicating a modifiable home hazard requiring occupational therapy assessment and urgent installation of bathroom safety adaptations."
"Have you noticed any change in the size or shape of your abdomen, with visible veins across the surface?","Ikùn mi ti pọ̀ sí i àti mo lè rí àwọn iṣan ọ̀nà ẹjẹ̀ tó hàn lórí awọ ara mi. Ìdọ̀tí inu rẹ̀ tún máa ń jẹ mí.","Caput medusae with visible dilated abdominal wall veins in a patient with ascites, a pathognomonic sign of portal hypertension secondary to liver cirrhosis requiring urgent hepatology assessment and variceal screening."
"Do you have any difficulty getting up off the floor if you fall, even without an injury?","Bí mo bá ṣubú, mi ò lè dìde láìsí ìrànlọ́wọ́ ẹlòmíràn. Mo gbìyànjú fún ìṣẹ́jú mẹ́wàá kí n tó gbé ẹni tó kọjá lọ.","Inability to rise from the floor independently following a fall, indicating severe proximal muscle weakness or deconditioning in an elderly patient and highlighting the need for physiotherapy assessment, strength training, and falls prevention education."
"Has your child received vitamin A supplementation at the last clinic visit?","A fún ọmọ mi ní vitamin A ní ọjọ́ Immunisation ní oṣù mẹ́fà sẹ́yìn. Mi ò mọ̀ bóyá a fún un lẹ́yìn náà.","Vitamin A supplementation six months ago at the last immunisation contact with uncertain subsequent dosing, raising concern for vitamin A deficiency in a child at risk, which causes night blindness, increased susceptibility to infections, and xerophthalmia."
"Have you ever had a blood pressure check done at a community health outpost or pharmacy?","Ọdún méjì sẹ́yìn, ìdánwò ẹjẹ̀ ìpàná mi ṣẹlẹ̀ ní ọjà. Wọ́n sọ pé ó ga, ṣùgbọ́n mi ò lọ ilé ìwòsàn lẹ́yìn rẹ̀.","Elevated blood pressure detected at a community screening event two years ago without subsequent clinical follow-up, representing a missed opportunity for early hypertension management and secondary organ damage prevention."
"Do you own a mobile phone, and could you use it to access health information or telemedicine?","Mo ní fóònù tó ń wọlé, ṣùgbọ́n mi ò mọ̀ bí a ṣe ń lo rẹ̀ fún ìwòsàn. Ọmọ mi tó ń kọ́ ilé ẹ̀kọ́ ló máa ń ràn mí lọ́wọ́.","Mobile phone ownership with digital health literacy gap in an elderly rural patient, indicating potential for telemedicine access facilitated by a younger family member, which could significantly reduce transport barriers to specialist consultation."
"Have you been able to attend all your antenatal appointments, or have any been missed due to transport or cost?","Mo ti padanu àwọn ìbẹ̀wò oyún mẹ́ta nítorí mi ò ní owó ìrìn-àjò àti ọkọ̀ tó ń lọ sí ilé ìwòsàn.","Three missed antenatal appointments due to financial and transport barriers, representing a gap in obstetric care associated with increased risk for undetected complications such as pre-eclampsia, gestational diabetes, and foetal growth restriction."
"Have you heard about any disease outbreaks in your community recently, such as cholera or measles?","Àwọn ọ̀rẹ́ mi sọ pé àwọn ọmọ díẹ̀ ní abúlé wa ti ní ìbà àti gbuuru ní ọ̀sẹ̀ méjì sẹ́yìn. Kò sí ìkìlọ̀ fún ilé ìwòsàn.","Community reports of febrile diarrhoeal illness in children without formal disease notification two weeks prior, indicating a possible cholera or rotavirus outbreak requiring urgent public health reporting, water source testing, and oral rehydration distribution."
"Do you know the danger signs of malaria in children, and what would you do if your child had them?","Mi ò mọ̀ àwọn àmì tó léwu. Nígbà tí ọmọ mi ń gbẹ̀ ikọ́ àti ní ibà, mo máa ń fún un ní oògùn ibà tí mo ra ní ọjà kíákíá.","Absence of knowledge of danger signs of severe malaria with self-treatment using over-the-counter antimalarials, delaying recognition of cerebral malaria, severe anaemia, or respiratory compromise which require urgent hospitalisation."
"Have you been using a treated bed net consistently for all members of your household?","Àwọ̀ oṣupa wa ti ní iho, a kò tíì rà tuntun. Àwọn ọmọ kéékèéké ni a máa ń fi bo, àwọn àgbàlagbà máa ń sùn ìta ní ìgbà ooru.","Deteriorating bed net with holes and incomplete household coverage, with adults sleeping outside during warm months, indicating inadequate malaria vector control and requiring net replacement and household behaviour change communication."
"Has your child been given deworming tablets at school or at the clinic this year?","Mi ò rí ẹni tó fún ọmọ mi ní oògùn ìjẹ nínú ọdún yìí. Ní ọdún tó kọjá, ilé ẹ̀kọ́ ló fún wọn.","No school-based or clinic deworming treatment received in the current year, interrupting the deworming cycle in a high-prevalence area and creating risk for soil-transmitted helminth reinfection affecting nutritional status and cognitive development."
"Do you have a health insurance card, and have you been able to use it without problems?","Mo ní káàdì ìṣègùn ìjọba ṣùgbọ́n ilé ìwòsàn tó wà nítòsí wa kò gba rẹ̀ mọ́. Mo máa ń san owó láti ara mi.","National health insurance card holder experiencing facility-level rejection of coverage, resulting in out-of-pocket expenditure and potential financial catastrophe, indicating a systemic healthcare access barrier requiring patient advocacy and insurer engagement."
"Has a community health worker visited your home recently, and what advice did they give you?","Àṣìṣọ ìlera abúlé wá ilé wa ní oṣù mẹ́ta sẹ́yìn. Ó sọ̀rọ̀ nípa ìwẹ̀ ọwọ́ àti jíjẹ oúnjẹ tó dára. Mi ò tẹ̀lé ìmọ̀ wọn pátápátá.","Community health worker visit with hygiene and nutrition counselling three months ago with partial adherence, indicating ongoing risk and the value of follow-up reinforcement visits to consolidate behaviour change in the household."
